Date,Open,High,Low,Close,Volume,Value,Change,Ticker
2018-01-02,51380,51400,50780,51020,169485,432677351468,0.12,005930
2018-01-03,52540,52560,51420,51620,200270,518345810160,1.18,005930
2018-01-04,52120,52180,50640,51080,233909,600531577700,-1.05,005930
2018-01-05,51300,52120,51200,52120,189623,490792925116,2.04,005930
2018-01-08,52400,52520,51500,52020,167673,435974098536,-0.19,005930
2018-01-09,51460,51720,49980,50400,360272,915580164480,-3.11,005930
2018-01-10,50500,50520,48640,48840,371336,913423173950,-3.1,005930
2018-01-11,48200,49260,48020,48240,502476,1216610828019,-1.23,005930
2018-01-12,48240,48480,46760,48200,545409,1294609288334,-0.08,005930
2018-01-15,48800,48980,47920,48540,201920,490174567000,0.71,005930
2018-01-16,48760,50140,48620,50000,407793,1006207691500,3.01,005930
2018-01-17,50020,50020,49060,49620,221061,548604859976,-0.76,005930
2018-01-18,50020,50640,49820,49900,296977,745730308744,0.56,005930
2018-01-19,50380,50380,49040,49320,184399,456632886890,-1.16,005930
2018-01-22,48640,48680,47960,48240,250418,603094917095,-2.19,005930
2018-01-23,48660,49160,48300,49160,270654,660111001789,1.91,005930
2018-01-24,48860,49700,48560,49340,191010,470754458857,0.37,005930
2018-01-25,49220,50360,49160,50260,223207,556833289000,1.86,005930
2018-01-26,50500,50780,49840,50780,207002,522484802400,1.03,005930
2018-01-29,51200,51480,50900,51220,236776,606585731237,0.87,005930
2018-01-30,50440,50640,49780,49800,245691,616153770244,-2.77,005930
2018-01-31,50020,54140,49600,49900,1293626,3351453496000,0.2,005930
2018-02-01,50620,50960,49720,49820,552189,1385573101302,-0.16,005930
2018-02-02,49380,49400,47700,47700,585207,1408721416002,-4.26,005930
2018-02-05,46500,48320,46000,47920,567158,1333662855850,0.46,005930
2018-02-06,46600,47920,46580,47420,388129,913939877925,-1.04,005930
2018-02-07,48240,48260,45800,45800,468961,1097890924000,-3.42,005930
2018-02-08,46120,46620,45980,46000,465021,1075498203230,0.44,005930
2018-02-09,44440,45180,44420,44700,349300,780790538640,-2.83,005930
2018-02-12,45100,46320,45040,45720,315099,719931323000,2.28,005930
2018-02-13,46200,48060,46200,47540,378465,896530740450,3.98,005930
2018-02-14,48080,49100,47940,49000,378118,922638233330,3.07,005930
2018-02-19,49800,49800,47860,48380,307069,746462578640,-1.27,005930
2018-02-20,48040,48160,47220,47400,202452,481057664650,-2.03,005930
2018-02-21,47280,47580,46840,47280,257604,607522785000,-0.25,005930
2018-02-22,47260,47260,46760,46760,177399,416552606000,-1.1,005930
2018-02-23,46760,47800,46760,47220,248466,587288884490,0.98,005930
2018-02-26,47280,47560,47080,47380,191213,452021608155,0.34,005930
2018-02-27,48360,48380,47380,47380,196611,470190818669,0.0,005930
2018-02-28,47380,48100,47000,47060,303247,718972454932,-0.68,005930
2018-03-02,46580,46800,46000,46020,265310,613078502354,-2.21,005930
2018-03-05,45820,46160,45080,45200,282019,639638106534,-1.78,005930
2018-03-06,45920,47100,45820,47020,308467,719307895174,4.03,005930
2018-03-07,48200,48900,47220,48620,428541,1036655011000,3.4,005930
2018-03-08,49200,49480,48080,49200,389273,952843675100,1.19,005930
2018-03-09,49440,50540,49240,49740,286088,714233056412,1.1,005930
2018-03-12,50560,50780,49580,49740,173779,434748776584,0.0,005930
2018-03-13,50760,51660,50360,51660,401974,1025226664800,3.86,005930
2018-03-14,51020,52000,51000,51760,254265,655032086650,0.19,005930
2018-03-15,52000,52020,51020,51540,177649,458293581896,-0.43,005930
2018-03-16,51220,51420,50240,51140,243698,618930949429,-0.78,005930
2018-03-19,50620,51340,50440,50740,164377,417387245000,-0.78,005930
2018-03-20,50700,51200,50100,51200,163865,414791150437,0.91,005930
2018-03-21,51780,51780,51060,51060,178104,456126647694,-0.27,005930
2018-03-22,51060,51780,51040,51780,169082,434965794173,1.41,005930
2018-03-23,50340,50720,49600,49720,297099,745226028606,-3.98,005930
2018-03-26,49420,50280,49040,50280,201155,500545941000,1.13,005930
2018-03-27,50320,50460,49080,49980,237480,591916093000,-0.6,005930
2018-03-28,49100,49100,48340,48700,303189,737578798000,-2.56,005930
2018-03-29,48700,49560,48320,49040,201340,492354522255,0.7,005930
2018-03-30,49080,49900,49080,49220,155542,385610024000,0.37,005930
2018-04-02,49000,49220,48500,48540,142313,346383448000,-1.38,005930
2018-04-03,47880,48140,47280,48120,255365,609108588000,-0.87,005930
2018-04-04,48160,48260,46920,46920,247684,586682025000,-2.49,005930
2018-04-05,47400,49380,47340,48740,264912,642625208000,3.88,005930
2018-04-06,48000,48580,47400,48400,250654,603210892000,-0.7,005930
2018-04-09,48260,49440,48200,49200,199008,488395543080,1.65,005930
2018-04-10,48540,49220,48040,48880,219687,534757298912,-0.65,005930
2018-04-11,49900,49900,48600,48860,201022,495246434000,-0.04,005930
2018-04-12,49440,49440,48880,49000,249325,612210717000,0.29,005930
2018-04-13,49600,50180,49400,49800,205566,512556399349,1.63,005930
2018-04-16,50320,50600,49860,50340,157549,396053424766,1.08,005930
2018-04-17,50240,50540,49820,49980,155440,389065519000,-0.72,005930
2018-04-18,51000,51360,50580,51360,269252,689012455000,2.76,005930
2018-04-19,52000,52980,51540,52780,343811,901505238771,2.76,005930
2018-04-20,51800,52260,51420,51620,235220,609151778944,-2.2,005930
2018-04-23,51000,52080,51000,51900,232380,600825481058,0.54,005930
2018-04-24,51840,51860,50080,50460,315406,799555958105,-2.77,005930
2018-04-25,49220,50500,49220,50400,332292,826565905260,-0.12,005930
2018-04-26,50420,52160,50400,52140,360931,931526175000,3.45,005930
2018-04-27,53380,53640,52440,53000,606216,1611240055340,1.65,005930
2018-04-30,0,0,0,53000,0,0,0.0,005930
2018-05-02,0,0,0,53000,0,0,0.0,005930
